player_id,web_name,first_name,second_name,team,team_id,position,price,now_cost,ownership,transfers_in_event,transfers_out_event,status,snapshot_time
1,Raya,David,Raya Martín,Arsenal,1,1,6.0,60,40.5,160689,28962,a,2026-09-15T20:36:53.276591
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,1,1,4.9,49,0.1,104,342,a,2026-09-15T20:36:53.276591
3,Meslier,Illan,Meslier,Arsenal,1,1,4.9,49,0.0,44,128,a,2026-09-15T20:36:53.276591
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,1,2,8.0,80,23.4,26114,60429,a,2026-09-15T20:36:53.276591
5,J.Timber,Jurriën,Timber,Arsenal,1,2,6.5,65,0.2,10530,1680,a,2026-09-15T20:36:53.276591
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,1,3,5.5,55,0.6,1963,6548,a,2026-09-15T20:36:53.276591
8,Calafiori,Riccardo,Calafiori,Arsenal,1,2,5.8,58,50.1,154620,36826,a,2026-09-15T20:36:53.276591
9,Hincapie,Piero,Hincapié,Arsenal,1,2,5.3,53,0.9,1569,10521,a,2026-09-15T20:36:53.276591
12,Saka,Bukayo,Saka,Arsenal,1,3,9.5,95,12.2,99039,30751,a,2026-09-15T20:36:53.276591
13,Rice,Declan,Rice,Arsenal,1,3,7.4,74,12.7,16214,45856,a,2026-09-15T20:36:53.276591
14,Eze,Eberechi,Eze,Arsenal,1,3,6.3,63,1.1,1747,11202,a,2026-09-15T20:36:53.276591
15,Ødegaard,Martin,Ødegaard,Arsenal,1,3,6.7,67,19.4,181375,63576,a,2026-09-15T20:36:53.276591
16,Madueke,Noni,Madueke,Arsenal,1,3,6.2,62,0.2,513,2372,a,2026-09-15T20:36:53.276591
17,Merino,Mikel,Merino Zazón,Arsenal,1,3,5.8,58,0.4,798,4236,a,2026-09-15T20:36:53.276591
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,1,3,5.3,53,0.6,948,5627,a,2026-09-15T20:36:53.276591
20,Dowman,Max,Dowman,Arsenal,1,3,5.3,53,0.1,285,692,a,2026-09-15T20:36:53.276591
25,Gyökeres,Viktor,Gyökeres,Arsenal,1,4,7.2,72,3.3,2072,33879,a,2026-09-15T20:36:53.276591
26,Havertz,Kai,Havertz,Arsenal,1,4,7.6,76,7.9,46026,56066,a,2026-09-15T20:36:53.276591
31,Konsa,Ezri,Konsa Ngoyo,Arsenal,1,2,4.5,45,18.1,182149,29389,a,2026-09-15T20:36:53.276591
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,Arsenal,1,3,6.7,67,1.8,10327,5474,a,2026-09-15T20:36:53.276591
557,Tzolis,Christos,Tzolis,Arsenal,1,3,6.4,64,14.7,20662,149917,a,2026-09-15T20:36:53.276591
29,M.Bizot,Marco,Bizot,Aston Villa,2,1,4.5,45,0.1,282,710,a,2026-09-15T20:36:53.276591
33,Mings,Tyrone,Mings,Aston Villa,2,2,4.5,45,0.4,1586,2785,a,2026-09-15T20:36:53.276591
35,Bogarde,Lamare,Bogarde,Aston Villa,2,3,5.0,50,0.1,328,593,a,2026-09-15T20:36:53.276591
37,Lindelöf,Victor,Lindelöf,Aston Villa,2,2,4.5,45,0.3,1590,1747,a,2026-09-15T20:36:53.276591
38,A.García,Andrés,García,Aston Villa,2,2,4.0,40,1.6,4614,8163,a,2026-09-15T20:36:53.276591
41,Buendía,Emiliano,Buendía Stati,Aston Villa,2,3,5.9,59,1.0,2560,11507,a,2026-09-15T20:36:53.276591
45,McGinn,John,McGinn,Aston Villa,2,3,5.4,54,2.3,9203,11715,a,2026-09-15T20:36:53.276591
46,Barkley,Ross,Barkley,Aston Villa,2,3,5.0,50,0.3,1242,2079,a,2026-09-15T20:36:53.276591
47,Kamara,Boubacar,Kamara,Aston Villa,2,3,5.0,50,0.3,1208,2704,a,2026-09-15T20:36:53.276591
50,Burrowes,Bradley,Burrowes,Aston Villa,2,3,4.5,45,0.6,1295,4200,a,2026-09-15T20:36:53.276591
51,George Hemmings,George,Hemmings,Aston Villa,2,3,4.5,45,1.3,8422,8809,a,2026-09-15T20:36:53.276591
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,Aston Villa,2,3,5.0,50,0.1,938,290,a,2026-09-15T20:36:53.276591
53,Manzambi,Johan,Manzambi,Aston Villa,2,3,5.9,59,0.1,1046,602,a,2026-09-15T20:36:53.276591
54,Gomes,Joao,Gomes,Aston Villa,2,3,5.5,55,0.0,309,148,a,2026-09-15T20:36:53.276591
56,Abraham,Tammy,Abraham,Aston Villa,2,4,5.5,55,0.2,1261,1504,a,2026-09-15T20:36:53.276591
160,Garnacho,Alejandro,Garnacho Ferreyra,Aston Villa,2,3,5.8,58,0.3,496,4523,a,2026-09-15T20:36:53.276591
166,N.Jackson,Nicolas,Jackson,Aston Villa,2,4,6.5,65,1.2,7327,18524,a,2026-09-15T20:36:53.276591
596,Ruggeri,Matteo,Ruggeri,Aston Villa,2,2,4.5,45,0.1,302,708,a,2026-09-15T20:36:53.276591
597,Suzuki,Zion,Suzuki,Aston Villa,2,1,5.0,50,1.8,8740,9666,a,2026-09-15T20:36:53.276591
606,Rowe,Triston,Rowe,Aston Villa,2,2,4.0,40,0.2,1143,998,a,2026-09-15T20:36:53.276591
611,Wan-Bissaka,Aaron,Wan-Bissaka,Aston Villa,2,2,4.5,45,0.2,2608,1143,a,2026-09-15T20:36:53.276591
630,Harwood-Bellis,Taylor,Harwood-Bellis,Aston Villa,2,2,4.5,45,0.0,179,220,a,2026-09-15T20:36:53.276591
631,Mbaye,Ibrahim,Mbaye,Aston Villa,2,3,6.0,60,0.1,1207,796,a,2026-09-15T20:36:53.276591
57,Petrović,Đorđe,Petrović,Bournemouth,3,1,4.5,45,3.1,3682,13745,a,2026-09-15T20:36:53.276591
58,Forster,Fraser,Forster,Bournemouth,3,1,4.0,40,3.5,12066,7856,a,2026-09-15T20:36:53.276591
60,Hill,James,Hill,Bournemouth,3,2,5.5,55,0.8,1820,5621,a,2026-09-15T20:36:53.276591
61,Truffert,Adrien,Truffert,Bournemouth,3,2,5.5,55,3.2,3422,17258,a,2026-09-15T20:36:53.276591
62,Diakité,Bafodé,Diakité,Bournemouth,3,2,5.0,50,0.2,564,1429,a,2026-09-15T20:36:53.276591
64,Smith,Adam,Smith,Bournemouth,3,2,4.5,45,0.1,486,1048,a,2026-09-15T20:36:53.276591
66,Soler,Julio,Soler Barreto,Bournemouth,3,2,4.0,40,0.3,1406,1374,a,2026-09-15T20:36:53.276591
67,Rayan,Rayan Vitor,Simplício Rocha,Bournemouth,3,3,6.4,64,1.7,2138,20560,a,2026-09-15T20:36:53.276591
68,Tavernier,Marcus,Tavernier,Bournemouth,3,3,6.1,61,5.5,181504,22923,a,2026-09-15T20:36:53.276591
69,Scott,Alex,Scott,Bournemouth,3,3,6.1,61,5.9,46119,40809,a,2026-09-15T20:36:53.276591
70,Kluivert,Justin,Kluivert,Bournemouth,3,3,6.0,60,1.0,7529,5023,a,2026-09-15T20:36:53.276591
71,Cook,Lewis,Cook,Bournemouth,3,3,5.0,50,0.2,483,2212,a,2026-09-15T20:36:53.276591
72,Gannon-Doak,Ben,Gannon-Doak,Bournemouth,3,3,4.9,49,0.1,186,464,a,2026-09-15T20:36:53.276591
73,Adams,Tyler,Adams,Bournemouth,3,3,5.0,50,0.3,1885,2323,a,2026-09-15T20:36:53.276591
74,Brooks,David,Brooks,Bournemouth,3,3,5.0,50,0.1,272,522,a,2026-09-15T20:36:53.276591
75,Christie,Ryan,Christie,Bournemouth,3,3,5.0,50,0.0,328,365,a,2026-09-15T20:36:53.276591
76,Tóth.A,Alex,Tóth,Bournemouth,3,3,5.0,50,0.0,30,75,a,2026-09-15T20:36:53.276591
79,Evanilson,Francisco Evanilson,de Lima Barbosa,Bournemouth,3,4,6.0,60,3.3,24954,22164,a,2026-09-15T20:36:53.276591
81,Rodríguez,Álvaro,Rodríguez,Bournemouth,3,4,6.0,60,0.1,453,790,a,2026-09-15T20:36:53.276591
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,Bournemouth,3,2,5.0,50,0.4,1038,2653,a,2026-09-15T20:36:53.276591
573,Sanchez,Juanlu,Sánchez,Bournemouth,3,2,4.4,44,0.2,175,744,a,2026-09-15T20:36:53.276591
608,Jebbison,Daniel,Jebbison,Bournemouth,3,4,5.0,50,0.1,1146,1141,a,2026-09-15T20:36:53.276591
615,Di Gregorio,Michele,Di Gregorio,Bournemouth,3,1,4.5,45,0.0,211,335,a,2026-09-15T20:36:53.276591
82,Kelleher,Caoimhín,Kelleher,Brentford,4,1,5.0,50,6.3,5520,34859,a,2026-09-15T20:36:53.276591
83,Valdimarsson,Hákon Rafn,Valdimarsson,Brentford,4,1,4.5,45,0.1,171,466,a,2026-09-15T20:36:53.276591
86,Lewis-Potter,Keane,Lewis-Potter,Brentford,4,3,5.5,55,1.9,3451,23968,a,2026-09-15T20:36:53.276591
87,Ajer,Kristoffer,Ajer,Brentford,4,2,4.5,45,4.3,5543,32522,a,2026-09-15T20:36:53.276591
88,Kayode,Michael,Kayode,Brentford,4,2,4.6,46,8.1,11588,79954,a,2026-09-15T20:36:53.276591
89,Henry,Rico,Henry,Brentford,4,2,4.4,44,0.2,232,942,a,2026-09-15T20:36:53.276591
90,Hickey,Aaron,Hickey,Brentford,4,2,4.5,45,0.1,188,349,a,2026-09-15T20:36:53.276591
92,Ji-soo,Kim,Ji-soo,Brentford,4,2,4.5,45,0.0,44,97,a,2026-09-15T20:36:53.276591
93,Schuster,Jannik,Schuster,Brentford,4,2,4.5,45,0.1,185,376,a,2026-09-15T20:36:53.276591
94,Schade,Kevin,Schade,Brentford,4,3,6.0,60,6.1,239399,22088,a,2026-09-15T20:36:53.276591
95,O.Dango,Dango,Ouattara,Brentford,4,3,6.4,64,0.5,403,7649,a,2026-09-15T20:36:53.276591
96,Damsgaard,Mikkel,Damsgaard,Brentford,4,3,5.5,55,0.5,743,4169,a,2026-09-15T20:36:53.276591
98,Janelt,Vitaly,Janelt,Brentford,4,3,5.0,50,2.4,23453,16976,a,2026-09-15T20:36:53.276591
100,Carvalho,Fábio,Freitas Gouveia Carvalho,Brentford,4,3,5.0,50,0.0,130,205,a,2026-09-15T20:36:53.276591
102,Yarmoliuk,Yehor,Yarmoliuk,Brentford,4,3,4.8,48,0.7,731,4664,a,2026-09-15T20:36:53.276591
105,Anthony,Jaidon,Anthony,Brentford,4,3,5.9,59,0.1,296,1216,a,2026-09-15T20:36:53.276591
106,Thiago,Igor Thiago,Nascimento Rodrigues,Brentford,4,4,7.9,79,9.6,6164,121387,a,2026-09-15T20:36:53.276591
108,Wilson,Callum,Wilson,Brentford,4,4,5.5,55,0.3,843,3528,a,2026-09-15T20:36:53.276591
565,M.Sangaré,Mamadou,Sangaré,Brentford,4,3,5.7,57,12.1,16808,107250,a,2026-09-15T20:36:53.276591
620,Diouf,El Hadji Malick,Diouf,Brentford,4,2,4.5,45,0.1,678,1037,a,2026-09-15T20:36:53.276591
657,Nunes,Gustavo,Nunes Fernandes Gomes,Brentford,4,3,4.5,45,0.0,1320,268,a,2026-09-15T20:36:53.276591
109,Verbruggen,Bart,Verbruggen,Brighton,5,1,4.5,45,22.0,46848,66034,a,2026-09-15T20:36:53.276591
111,Steele,Jason,Steele,Brighton,5,1,4.0,40,4.2,10077,11023,a,2026-09-15T20:36:53.276591
113,F.Kadıoğlu,Ferdi,Kadıoğlu,Brighton,5,2,4.4,44,1.7,2470,8670,a,2026-09-15T20:36:53.276591
114,Boscagli,Olivier,Boscagli,Brighton,5,2,4.5,45,0.3,770,1213,a,2026-09-15T20:36:53.276591
115,De Cuyper,Maxim,De Cuyper,Brighton,5,2,4.8,48,23.7,230468,55964,a,2026-09-15T20:36:53.276591
116,Dunk,Lewis,Dunk,Brighton,5,2,4.5,45,1.5,16373,5409,a,2026-09-15T20:36:53.276591
117,Coppola,Diego,Coppola,Brighton,5,2,4.5,45,0.0,120,137,a,2026-09-15T20:36:53.276591
119,Costinha,João Pedro,Loureiro da Costa,Brighton,5,2,4.5,45,0.0,99,177,a,2026-09-15T20:36:53.276591
120,Svoboda,Michael,Svoboda,Brighton,5,2,5.0,50,0.1,393,587,a,2026-09-15T20:36:53.276591
124,Groß,Pascal,Groß,Brighton,5,3,5.6,56,18.8,310262,46341,a,2026-09-15T20:36:53.276591
125,Georginio,Georginio,Rutter,Brighton,5,4,5.4,54,0.5,688,7262,a,2026-09-15T20:36:53.276591
126,O'Riley,Matt,O'Riley,Brighton,5,3,5.5,55,0.1,350,750,a,2026-09-15T20:36:53.276591
127,Gomez,Diego,Gómez Amarilla,Brighton,5,3,5.0,50,4.6,7497,37611,a,2026-09-15T20:36:53.276591
129,Ayari,Yasin,Ayari,Brighton,5,3,5.4,54,0.4,1991,2206,a,2026-09-15T20:36:53.276591
134,Oriola,Nehemiah,Oriola,Brighton,5,3,4.5,45,0.3,614,1624,a,2026-09-15T20:36:53.276591
138,Kostoulas,Charalampos,Kostoulas,Brighton,5,4,5.5,55,0.7,24031,6393,a,2026-09-15T20:36:53.276591
328,Struijk,Pascal,Struijk,Brighton,5,2,4.9,49,0.2,393,1474,a,2026-09-15T20:36:53.276591
504,Vuskovic,Luka,Vušković,Brighton,5,2,5.0,50,3.2,16861,16880,a,2026-09-15T20:36:53.276591
594,David,Promise,David,Brighton,5,4,6.0,60,0.2,1142,2915,a,2026-09-15T20:36:53.276591
600,Osman,Ibrahim,Osman,Brighton,5,3,5.0,50,0.0,91,123,a,2026-09-15T20:36:53.276591
605,Yalcouyé,Malick,Yalcouyé,Brighton,5,3,4.5,45,3.7,67917,19255,a,2026-09-15T20:36:53.276591
614,Hadjam,Jaouen,Hadjam,Brighton,5,2,4.5,45,0.0,188,430,a,2026-09-15T20:36:53.276591
639,Andrés,José María,Andrés Baixauli,Brighton,5,3,5.5,55,0.0,255,130,a,2026-09-15T20:36:53.276591
658,Ibrahim,Younes,Ibrahim,Brighton,5,3,4.5,45,0.0,801,141,a,2026-09-15T20:36:53.276591
28,Martinez,Emiliano,Martínez Romero,Chelsea,6,1,5.0,50,5.0,12046,32566,a,2026-09-15T20:36:53.276591
40,Rogers,Morgan,Rogers,Chelsea,6,3,7.7,77,37.7,395988,26738,a,2026-09-15T20:36:53.276591
136,Welbeck,Danny,Welbeck,Chelsea,6,4,5.9,59,0.7,2549,6696,a,2026-09-15T20:36:53.276591
142,James,Reece,James,Chelsea,6,2,5.4,54,7.2,11880,65513,a,2026-09-15T20:36:53.276591
144,Gusto,Malo,Gusto,Chelsea,6,2,5.0,50,1.0,2403,8522,a,2026-09-15T20:36:53.276591
145,Fofana,Wesley,Fofana,Chelsea,6,2,5.0,50,0.2,1747,1789,a,2026-09-15T20:36:53.276591
148,Hato,Jorrel,Hato,Chelsea,6,2,4.5,45,1.0,2954,11947,a,2026-09-15T20:36:53.276591
149,Colwill,Levi,Samuels Colwill,Chelsea,6,2,4.9,49,1.0,1147,11053,a,2026-09-15T20:36:53.276591
151,Acheampong,Josh,Acheampong,Chelsea,6,2,4.5,45,0.4,854,3526,a,2026-09-15T20:36:53.276591
154,Palmer,Cole,Palmer,Chelsea,6,3,9.7,97,26.8,91111,84303,a,2026-09-15T20:36:53.276591
156,Neto,Pedro,Lomba Neto,Chelsea,6,3,6.5,65,1.4,7718,12114,a,2026-09-15T20:36:53.276591
157,Estêvão,Estêvão,Almeida de Oliveira Gonçalves,Chelsea,6,3,6.3,63,0.7,1584,6523,a,2026-09-15T20:36:53.276591
158,Gittens,Jamie,Bynoe-Gittens,Chelsea,6,3,5.9,59,0.0,100,266,a,2026-09-15T20:36:53.276591
161,Lavia,Roméo,Lavia,Chelsea,6,3,5.0,50,0.2,1609,2605,a,2026-09-15T20:36:53.276591
164,Quenda,Geovany,Quenda,Chelsea,6,3,5.3,53,0.0,85,342,a,2026-09-15T20:36:53.276591
165,João Pedro,João Pedro,Junqueira de Jesus,Chelsea,6,4,7.8,78,75.4,194677,15698,a,2026-09-15T20:36:53.276591
169,Mheuka,Shumaira,Mheuka,Chelsea,6,4,4.5,45,0.4,3896,3233,a,2026-09-15T20:36:53.276591
200,Lacroix,Maxence,Lacroix,Chelsea,6,2,6.0,60,7.4,5024,72209,a,2026-09-15T20:36:53.276591
560,Penders,Mike,Penders,Chelsea,6,1,4.4,44,0.1,440,376,a,2026-09-15T20:36:53.276591
561,Anselmino,Aaron,Anselmino,Chelsea,6,2,4.5,45,0.0,132,127,a,2026-09-15T20:36:53.276591
568,Barco,Valentín,Barco,Chelsea,6,3,5.4,54,0.1,305,813,a,2026-09-15T20:36:53.276591
583,Chavarria,Pep,Chavarría,Chelsea,6,2,4.9,49,0.2,254,986,a,2026-09-15T20:36:53.276591
91,Pinnock,Ethan,Pinnock,Coventry City,7,2,4.5,45,0.1,239,379,a,2026-09-15T20:36:53.276591
110,Rushworth,Carl,Rushworth,Coventry City,7,1,4.5,45,0.9,586,5500,a,2026-09-15T20:36:53.276591
172,Wilson,Ben,Wilson,Coventry City,7,1,4.5,45,0.4,98,996,a,2026-09-15T20:36:53.276591
173,Thomas,Bobby,Thomas,Coventry City,7,2,4.0,40,8.9,18101,36960,a,2026-09-15T20:36:53.276591
175,van Ewijk,Milan,van Ewijk,Coventry City,7,2,4.0,40,10.0,8547,57355,a,2026-09-15T20:36:53.276591
176,Dasilva,Jay,Dasilva,Coventry City,7,2,4.0,40,0.7,491,2516,a,2026-09-15T20:36:53.276591
178,Bidwell,Jake,Bidwell,Coventry City,7,2,4.0,40,0.1,257,391,a,2026-09-15T20:36:53.276591
179,Latibeaudiere,Joel,Latibeaudiere,Coventry City,7,2,4.0,40,0.0,92,181,a,2026-09-15T20:36:53.276591
182,Amenda,Aurèle,Amenda,Coventry City,7,2,4.0,40,0.7,1171,2769,a,2026-09-15T20:36:53.276591
183,Rudoni,Jack,Rudoni,Coventry City,7,3,5.0,50,0.1,255,806,a,2026-09-15T20:36:53.276591
184,Grimes,Matt,Grimes,Coventry City,7,3,4.9,49,0.1,349,1110,a,2026-09-15T20:36:53.276591
185,Sakamoto,Tatsuhiro,Sakamoto,Coventry City,7,3,4.9,49,0.1,51,518,a,2026-09-15T20:36:53.276591
186,Mason-Clark,Ephron,Mason-Clark,Coventry City,7,3,5.4,54,0.1,64,499,a,2026-09-15T20:36:53.276591
188,Torp,Victor,Torp,Coventry City,7,3,5.4,54,0.1,21,606,a,2026-09-15T20:36:53.276591
189,Shepherd,George,Shepherd,Coventry City,7,3,4.5,45,0.2,294,1426,a,2026-09-15T20:36:53.276591
190,Tchaouna,Loum,Tchaouna,Coventry City,7,3,5.4,54,0.1,20,549,a,2026-09-15T20:36:53.276591
194,Thomas-Asante,Brandon,Thomas-Asante,Coventry City,7,4,5.0,50,0.8,4563,6521,a,2026-09-15T20:36:53.276591
195,Simms,Ellis,Simms,Coventry City,7,4,5.0,50,0.7,1617,6391,a,2026-09-15T20:36:53.276591
575,Yirenkyi,Caleb,Yirenkyi,Coventry City,7,3,4.9,49,0.2,157,1398,a,2026-09-15T20:36:53.276591
584,Hamer,Gustavo,Hamer,Coventry City,7,3,5.4,54,0.1,46,547,a,2026-09-15T20:36:53.276591
